title,주소,Latitude,Longitude
광주 벌원초교점,"경기 광주시 회안대로 637-36 (탄벌동, 경남아너스빌 2단지)",37.409883,127.236669
광주 봉선영재점,"광주 남구 봉선1로 78 (봉선동, 김경한한약국)",35.1278646,126.9136395
광주 부영3차점,"광주 광산구 첨단중앙로68번길 131 (산월동, 부영아파트)",35.212306,126.8501041
광주 비아호반점,"광주 광산구 비아로 185 (비아동, 하남지구 호반아파트)",35.2238758,126.8244594
광주 빛고을점,"광주 광산구 풍영철길로 20-20 (우산동, 우산동 중흥s-클래스 리버티)",35.1621484,126.8142236
광주 산정부영점,"광주 광산구 목련로 42 (산정동, 부영 애시앙)",,
광주 삼호e해법수학,"광주 광산구 첨단중앙로181번길 88-16 (월계동, 첨단라인5차아파트)",35.2203708,126.8325293
광주 상무용수학점,"광주 서구 치평로 60 (치평동, 삼성리더스빌)",35.1526077,126.8477855
광주 서희마라톤수학전문학원점,"광주 북구 군왕로 297 (각화동, 솔로몬타워)",35.1870489,126.9358392
광주 선운점,광주 광산구 선암동 565,35.1479319,126.7775357
광주 송화점,광주 남구 노대동 827,35.1070597,126.9075606
광주 수완 에스원영수학원점,광주 광산구 풍영로200번길 67,35.1898759,126.8179217
광주 수완대방1차점,"광주 광산구 수등로76번길 40 (신가동, 아름마을 대방노블랜드 아파트)",35.1831176,126.8164526
광주 수완대방노블랜드6차점,"광주 광산구 왕버들로132번길 35 (수완동, 광주 수완6차 대방 노블랜드)",35.2003333,126.8254048
광주 수완새별초점,광주 광산구 풍영로101번안길 18 (흑석동),35.1818971,126.8098949
광주 수완은빛점,"광주 광산구 수완로33번길 79 (수완동, 수완지구 영무예다음2차 아파트)",35.1873607,126.8253368
광주 수완자이점,"광주 광산구 풍영로330번길 34 (장덕동, 수완신안실크밸리)",35.200155,126.8174642
광주 스마트해법수학매곡학원,광주 북구 매곡로 55,35.1897406,126.893627
광주 쌍동초교점,경기 광주시 초월읍 경충대로1127번길 46 (쌍동리),37.377349,127.2907249
광주 쌍령초점,경기 광주시 경충대로1461번길 16 (쌍령동),37.3998379,127.2714807
