title,주소,Latitude,Longitude,지번
푸르넷공부방 칠곡지점,대구 북구 구암로 139-1 4층,35.9320479,128.5563029,(지번) 동천동 878-3
동림푸르넷공부방,광주 북구 동림용산로 25 2층,35.1877808,126.8670555,(지번) 동림동 1153-4
푸르넷행복공부방,광주 북구 우치로361번길 20-7,35.1977767,126.9020232,(지번) 삼각동 581
푸르넷공부방 학정2호점,대구 북구 학정동로 42-25 2층,35.9477584,128.5680059,(지번) 학정동 973-6
푸르넷공부방,경남 창원시 마산합포구 가포순환로 33,35.174222,128.5646026,(지번) 월영동 738
푸르넷공부방,경남 창원시 성산구 대암로 56,35.2137408,128.7020069,(지번) 남양동 4
푸르넷공부방,울산 남구 대암로 82 205동 105호,35.5294612,129.323884,(지번) 야음동 594-10
금성푸르넷공부방,전북 남원시 광한북로 114,35.4122216,127.3824975,(지번) 동충동 224-4
풍암푸르넷공부방,광주 서구 풍암운리로23번길 6,35.1235193,126.8664637,(지번) 풍암동 989-12
푸르넷공부방 평리초점,대구 서구 국채보상로55길 5-1,35.8720702,128.561609,(지번) 사직동 127-21
푸르넷공부방,부산 연제구 여고로14번길 63,35.1921762,129.0663608,(지번) 거제동 894-17
푸르넷 청파공부방,경북 포항시 북구 용두산길 62,36.0693017,129.3817915,(지번) 두호동 1071
푸르넷공부방,부산 금정구 장전온천천로95번길 19,35.2335605,129.0881484,(지번) 장전동 392-46
푸르넷 함안공부방,경남 함안군 가야읍 해동길 22,35.2763108,128.4036218,(지번) 가야읍 말산리 448
푸르넷 Megans 영어공부방,경북 포항시 북구 학전로 103 105동 903호,36.0619339,129.3749338,(지번) 두호동 919
우현삼도푸르넷공부방,경북 포항시 북구 우창동로 76 101동 509호,36.0580859,129.3670392,(지번) 우현동 산 13-8
푸르넷이미경공부방,경남 진주시 공단로 30 동일스위트아파트 105동 201호,35.173837,128.1029153,(지번) 상평동 1068-1
푸르넷공부방,부산 금정구 서금로30번길 60,35.217258,129.107337,(지번) 서동 141-113
푸르넷공부방,부산 연제구 교대로24번길 50,35.1975095,129.0760461,(지번) 거제동 228-1
푸르넷 공부방,부산 기장군 기장읍 차성서로 52 2층,35.2377679,129.2103996,(지번) 기장읍 대라리 160-1
율산푸르넷공부방,전남 순천시 안산길 22 201호,34.9391493,127.5268407,(지번) 연향동 1613-2
푸르넷공부방,부산 해운대구 선수촌로 122 119동,35.2020456,129.1216143,(지번) 반여동 1638
푸르넷공부방,울산 중구 성안8길 10-14,35.5765739,129.3191703,(지번) 성안동 493-6
푸르넷행복한공부방,경북 경주시 용담로92번길 43-10,35.867867,129.2136789,(지번) 황성동 515-2
푸르넷공부방,전남 해남군 해남읍 중앙1로 76 2층,34.5712592,126.6031581,(지번) 해남읍 해리 594-7
푸르넷 중흥공부방,경남 김해시 진영읍 장등로 55,35.311329,128.7339905,(지번) 진영읍 진영리 1611-3
예인푸르넷공부방,경남 창원시 진해구 덕산로46번길 14-4 1층,35.1450173,128.704555,(지번) 덕산동 1-37
