행정구역(시군구)별(1),행정구역(시군구)별(2),2017년 평균급여(백만원),2018년 평균급여(백만원),2019년 평균급여(백만원),2020년 평균급여(백만원),2021년 평균급여(백만원),2022년 평균급여_예측값(백만원)
충청남도,서천군,30.2546436461828,31.961618171267517,32.47525631710664,32.312460961898815,32.898353559557854,33.967793
충청남도,아산시,38.44916690784306,38.88933266368514,38.940538986816655,40.24095186858377,43.49523889837595,45.86691
충청남도,예산군,28.09176353069379,29.606010904738685,30.41207769174201,30.75235808609158,32.791848864360006,35.193962
충청남도,천안시,36.39132600026086,37.075824559804325,37.77060136896404,38.8440245569126,41.16357009008115,43.483772
충청남도,청양군,28.866029352363,29.37921312315776,30.90144546649146,31.437218866469607,32.53019538188277,34.301456
충청남도,태안군,31.340622197696074,32.32316868842571,32.843208045902905,33.682715577633424,35.34975338307829,37.06601
충청남도,홍성군,31.16238678381221,32.53878481837433,33.53531963398031,34.65106790714926,35.9224093145494,38.055542
광주광역시,광산구,32.91086983445486,33.88392437336512,34.79420381963202,35.8336128563919,37.38378471031882,39.617447
광주광역시,남구,34.738983302411874,36.15907700624529,37.10237903561613,38.03404991484169,39.54801434626671,42.153584
광주광역시,동구,33.43578272509511,35.31026992493212,36.37073867778717,37.18244759454874,39.35455602946879,42.536842
광주광역시,북구,31.4525454240978,32.39243733085482,33.320902253644434,34.14017555440814,35.23943158459201,36.9903
광주광역시,서구,35.28944464517641,36.35068009354269,37.30121792487914,37.69625949790565,39.23062304873083,41.71561
전라북도,고창군,29.175721852041686,30.392899308483724,31.490233405065386,32.332320328542096,32.732450226064884,34.40719
전라북도,군산시,33.51489954006294,33.94509420170247,34.265424899245936,34.63698762020184,36.10865876234133,37.456753
전라북도,김제시,26.497176187390057,27.898402294141743,28.43869680851064,29.17711751662971,30.48188516370929,32.698616
전라북도,남원시,27.96999090633525,29.11024438410269,29.813112002238174,30.545857717629847,31.759907604511078,33.5478
전라북도,무주군,28.10834371108344,28.78459199189052,29.76555573797406,31.02091912370285,31.818181818181817,34.015884
